"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:11:17.4333820 PM","SearchIndexer.exe","14224","CreateFile","D:\","SUCCESS","Desired Access: Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:11:17.4334037 PM","svchost.exe","14576","CreateFile","D:\","SUCCESS","Desired Access: Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:11:17.4343692 PM","svchost.exe","26384","CreateFile","D:\","SUCCESS","Desired Access: Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Open For Free Space Query, Attributes: n/a, ShareMode: None, AllocationSize: n/a, OpenResult: Opened"
"9:11:17.4344641 PM","SearchIndexer.exe","14224","QueryNameInformationFile","D:\","SUCCESS","Name: \"
"9:11:17.4344779 PM","svchost.exe","14576","QueryNameInformationFile","D:\","SUCCESS","Name: \"
"9:11:17.4345199 PM","svchost.exe","14576","QueryInformationVolume","D:\","SUCCESS","VolumeCreationTime: 1/1/1601 2:00:00 AM, VolumeSerialNumber: 3CE5-D415, SupportsObjects: False, VolumeLabel: "
"9:11:17.4345317 PM","svchost.exe","26384","QueryFullSizeInformationVolume","D:\","SUCCESS","TotalAllocationUnits: 1,048,192, CallerAvailableAllocationUnits: 1,048,185, ActualAvailableAllocationUnits: 1,048,185, SectorsPerAllocationUnit: 64, BytesPerSector: 512"
"9:11:17.4345372 PM","SearchIndexer.exe","14224","QueryInformationVolume","D:\","SUCCESS","VolumeCreationTime: 1/1/1601 2:00:00 AM, VolumeSerialNumber: 3CE5-D415, SupportsObjects: False, VolumeLabel: "
"9:11:17.4345375 PM","svchost.exe","14576","QueryAttributeInformationVolume","D:\","SUCCESS","FileSystemAttributes: Case Preserved, Unicode, EFS, 0x200, MaximumComponentNameLength: 255, FileSystemName: FAT32"
"9:11:17.4345495 PM","svchost.exe","14576","CloseFile","D:\","SUCCESS",""
"9:11:17.4345498 PM","svchost.exe","26384","CloseFile","D:\","SUCCESS",""
"9:11:17.4345758 PM","SearchIndexer.exe","14224","QueryAttributeInformationVolume","D:\","SUCCESS","FileSystemAttributes: Case Preserved, Unicode, EFS, 0x200, MaximumComponentNameLength: 255, FileSystemName: FAT32"
"9:11:17.4345864 PM","SearchIndexer.exe","14224","CloseFile","D:\","SUCCESS",""
"9:11:17.4346238 PM","WUDFHost.exe","26024","CreateFile","D:\DCIM","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"9:11:17.4347772 PM","SearchIndexer.exe","14224","RegSetValue","HKLM\SOFTWARE\Microsoft\Windows Search\VolumeInfoCache\D:\DriveType","SUCCESS","Type: REG_DWORD, Length: 4, Data: 3"
"9:11:17.4348214 PM","SearchIndexer.exe","14224","RegSetValue","HKLM\SOFTWARE\Microsoft\Windows Search\VolumeInfoCache\D:\VolumeLabel","SUCCESS","Type: REG_SZ, Length: 2, Data: "
"9:11:17.4352154 PM","SearchIndexer.exe","14224","CreateFile","D:\","SUCCESS","Desired Access: Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:11:17.4352379 PM","SearchIndexer.exe","14224","QueryNameInformationFile","D:\","SUCCESS","Name: \"
"9:11:17.4352544 PM","SearchIndexer.exe","14224","QueryInformationVolume","D:\","SUCCESS","VolumeCreationTime: 1/1/1601 2:00:00 AM, VolumeSerialNumber: 3CE5-D415, SupportsObjects: False, VolumeLabel: "
"9:11:17.4352684 PM","SearchIndexer.exe","14224","QueryAttributeInformationVolume","D:\","SUCCESS","FileSystemAttributes: Case Preserved, Unicode, EFS, 0x200, MaximumComponentNameLength: 255, FileSystemName: FAT32"
"9:11:17.4352812 PM","SearchIndexer.exe","14224","CloseFile","D:\","SUCCESS",""
"9:11:17.4354081 PM","SearchIndexer.exe","14224","RegSetValue","HKLM\SOFTWARE\Microsoft\Windows Search\VolumeInfoCache\D:\DriveType","SUCCESS","Type: REG_DWORD, Length: 4, Data: 3"
"9:11:17.4354325 PM","SearchIndexer.exe","14224","RegSetValue","HKLM\SOFTWARE\Microsoft\Windows Search\VolumeInfoCache\D:\VolumeLabel","SUCCESS","Type: REG_SZ, Length: 2, Data: "
"9:11:17.4355363 PM","svchost.exe","6380","CreateFile","D:\","SUCCESS","Desired Access: Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, Impersonating: NT AUTHORITY\SYSTEM"
"9:11:17.4355742 PM","svchost.exe","6380","QueryNameInformationFile","D:\","SUCCESS","Name: \"
"9:11:17.4355918 PM","svchost.exe","6380","QueryInformationVolume","D:\","SUCCESS","VolumeCreationTime: 1/1/1601 2:00:00 AM, VolumeSerialNumber: 3CE5-D415, SupportsObjects: False, VolumeLabel: "
"9:11:17.4356061 PM","svchost.exe","6380","QueryAttributeInformationVolume","D:\","SUCCESS","FileSystemAttributes: Case Preserved, Unicode, EFS, 0x200, MaximumComponentNameLength: 255, FileSystemName: FAT32"
"9:11:17.4356195 PM","svchost.exe","6380","CloseFile","D:\","SUCCESS",""
