"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:23:04.4862905 PM","Explorer.EXE","9848","QueryNetworkOpenInformationFile","D:\test-document.txt","SUCCESS","CreationTime: 9/12/2026 7:27:05 PM, LastAccessTime: 9/12/2026 12:00:00 AM, LastWriteTime: 5/23/2026 11:23:58 AM, ChangeTime: 1/1/1601 2:00:00 AM, AllocationSize: 1/1/1601 2:00:00 AM, EndOfFile: 1/1/1601 2:00:00 AM, FileAttributes: A"
"9:23:04.4863012 PM","Explorer.EXE","9848","FileSystemControl","D:\test-document.txt","INVALID DEVICE REQUEST","Control: FSCTL_CREATE_OR_GET_OBJECT_ID"
"9:23:04.4863156 PM","Explorer.EXE","9848","CloseFile","D:\test-document.txt","SUCCESS",""
"9:23:04.4863776 PM","Explorer.EXE","9848","CreateFile","D:\","SUCCESS","Desired Access: Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:23:04.4864133 PM","Explorer.EXE","9848","QueryNameInformationFile","D:\","SUCCESS","Name: \"
"9:23:04.4864277 PM","Explorer.EXE","9848","QueryInformationVolume","D:\","SUCCESS","VolumeCreationTime: 1/1/1601 2:00:00 AM, VolumeSerialNumber: 3CE5-D415, SupportsObjects: False, VolumeLabel: "
"9:23:04.4864381 PM","Explorer.EXE","9848","CloseFile","D:\","SUCCESS",""
"9:23:04.4865533 PM","Explorer.EXE","9848","CreateFile","D:\test-document.txt","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:23:04.4865687 PM","Explorer.EXE","9848","QueryNetworkOpenInformationFile","D:\test-document.txt","SUCCESS","CreationTime: 9/12/2026 7:27:05 PM, LastAccessTime: 9/12/2026 12:00:00 AM, LastWriteTime: 5/23/2026 11:23:58 AM, ChangeTime: 1/1/1601 2:00:00 AM, AllocationSize: 1/1/1601 2:00:00 AM, EndOfFile: 1/1/1601 2:00:00 AM, FileAttributes: A"
"9:23:04.4865783 PM","Explorer.EXE","9848","FileSystemControl","D:\test-document.txt","INVALID DEVICE REQUEST","Control: FSCTL_CREATE_OR_GET_OBJECT_ID"
